=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RECENCY_WEIGHTED_RANDOM;0.2;150.0;308.0;160.0;13.204983;2.640997;318.0
1;1.0;RECENCY_WEIGHTED_RANDOM;0.2;187.0;323.0;191.0;18.218992;3.6437974;327.0
2;1.0;RECENCY_WEIGHTED_RANDOM;0.2;152.0;321.0;156.0;10.63679;2.1273577;325.0
3;1.0;RECENCY_WEIGHTED_RANDOM;0.2;164.0;335.0;187.0;16.743484;3.3486972;358.0
4;1.0;RECENCY_WEIGHTED_RANDOM;0.2;179.0;328.0;178.0;15.673103;3.13462;327.0
5;1.0;RECENCY_WEIGHTED_RANDOM;0.2;163.0;348.0;149.0;14.155452;2.8310905;334.0
6;1.0;RECENCY_WEIGHTED_RANDOM;0.2;150.0;318.0;156.0;11.34474;2.268948;324.0
7;1.0;RECENCY_WEIGHTED_RANDOM;0.2;164.0;328.0;165.0;12.457723;2.491544;329.0
8;1.0;RECENCY_WEIGHTED_RANDOM;0.2;164.0;340.0;179.0;10.647203;2.129441;355.0
9;1.0;RECENCY_WEIGHTED_RANDOM;0.2;159.0;311.0;168.0;15.678309;3.135662;320.0

=== FINAL AGGREGATE RESULTS ===
agentId;riskAversion;strategy;accuracy;aggrConvertedLeads;aggrExpectedConvertedLeads;aggrExpectedFallOffLeads;aggrConvertedLeadsByMag;aggrPay;aggrFallOffLeads
0;1.0;RECENCY_WEIGHTED_RANDOM;0.2;150.0;308.0;160.0;13.204983;2.640997;318.0
2;4;RECENCY_WEIGHTED_RANDOM;[(232029995,0.6000),(232030417,0.6000),(231040072,0.6000),(231044231,0.6000),(232028115,0.6000),(231040736,-0.0000),(232031009,-0.0000),(232027921,-0.0000),(244074539,-0.0000),(232029027,-0.0000),(232028434,-0.0000),(231040035,-0.0000),(231041011,-0.0000),(232032230,-0.0000),(231043164,-0.0000),(232030258,-0.0000),(231042885,-0.0000),(245018354,-0.0000),(231041069,-0.0000),(231042529,-0.0000),(231039651,-0.0000),(232032662,-0.0000),(232029588,-0.0000),(242108507,-0.0000),(232030219,-0.0000),(232029467,-0.0000),(231044973,-0.0000),(232028273,-0.0000),(231041394,-0.0000),(232029161,-0.0000),(232030365,-0.0000),(231042271,-0.0000),(231039764,-0.0000),(232028218,-0.0000),(232028931,-0.0000),(231044671,-0.0000),(232031106,-0.0000),(232030956,-0.0000),(231043787,-0.0000),(231041995,-0.0000),(231039834,-0.0000),(231040002,-0.0000),(231040805,-0.0000),(242003454,-0.0000),(231042125,-0.0000),(231043682,-0.0000),(232031611,-0.0000),(232028210,-0.0000),(232031537,-0.0000),(231041398,-0.0000)];[(232029995,0.6000),(232030417,0.6000),(231040072,0.6000),(231044231,0.6000),(232028115,0.6000)]
2;5;RECENCY_WEIGHTED_RANDOM;[(244068568,0.6000),(235813450,-0.0000),(232032237,0.6000),(231042033,0.6000),(231043508,0.6000),(231040666,-0.0000),(232031224,-0.0000),(231041044,-0.0000),(232030661,-0.0000),(232027793,-0.0000),(232027574,-0.0000),(232031542,-0.0000),(232031994,-0.0000),(232027886,-0.0000),(231043068,-0.0000),(232027526,-0.0000),(231044368,-0.0000),(231043427,-0.0000),(291024292,-0.0000),(231042594,-0.0000),(232028688,-0.0000),(231045477,-0.0000),(231043924,-0.0000),(232028475,-0.0000),(232032389,-0.0000),(242108796,-0.0000),(235814079,-0.0000),(232029906,-0.0000),(232027790,-0.0000),(231043312,-0.0000),(231042094,-0.0000),(231041579,-0.0000),(400007807,-0.0000),(400007308,-0.0000),(231042816,-0.0000),(231041729,-0.0000),(231040327,-0.0000),(232029123,-0.0000),(232030481,-0.0000),(231040050,-0.0000),(231041773,-0.0000),(231041545,-0.0000),(231041836,-0.0000),(232030248,-0.0000),(231042368,-0.0000),(232030201,-0.0000),(231040520,-0.0000),(231042277,-0.0000),(232029494,-0.0000)];[(244068568,0.6000),(235813450,0.6000),(232032237,0.6000),(231042033,0.6000),(231043508,0.6000)]
2;6;RECENCY_WEIGHTED_RANDOM;[(244075791,0.6000),(231041910,0.6000),(232027928,0.6000),(231042399,0.6000),(231045394,0.6000),(231040389,-0.0000),(232030112,-0.0000),(231040602,-0.0000),(232030335,-0.0000),(231039729,-0.0000),(232031970,-0.0000),(232028827,-0.0000),(232028132,-0.0000),(231041950,-0.0000),(232029422,-0.0000),(232027856,-0.0000),(231042747,-0.0000),(232030278,-0.0000),(231043912,-0.0000),(231040540,-0.0000),(231040854,-0.0000),(232028591,-0.0000),(232027576,-0.0000),(232029004,-0.0000),(232028124,-0.0000),(248016484,-0.0000),(231040976,-0.0000),(231043250,-0.0000),(231040803,-0.0000),(232027637,-0.0000),(231039676,-0.0000),(232030901,-0.0000),(232028341,-0.0000),(231039744,-0.0000),(245018433,-0.0000),(231045742,-0.0000),(231043173,-0.0000),(231045152,-0.0000),(231042594,-0.0000),(231040973,-0.0000),(207009215,-0.0000),(231043925,-0.0000),(231045217,-0.0000),(231042022,-0.0000),(231041133,-0.0000),(231042939,-0.0000),(232031255,-0.0000),(231041056,-0.0000),(232028774,-0.0000)];[(244075791,0.6000),(231041910,0.6000),(232027928,0.6000),(231042399,0.6000),(231045394,0.6000)]
2;7;RECENCY_WEIGHTED_RANDOM;[(232027578,0.6000),(232029308,0.6000),(231042372,0.6000),(231040992,0.6000),(232027559,0.6000),(231042405,-0.0000),(232030319,-0.0000),(232029154,-0.0000),(231039700,-0.0000),(231041851,-0.0000),(232031986,-0.0000),(231043127,-0.0000),(231043983,-0.0000),(231042602,-0.0000),(242109860,-0.0000),(231042997,-0.0000),(232029776,-0.0000),(239015574,-0.0000),(232030946,-0.0000),(231044445,-0.0000),(231039844,-0.0000),(231041283,-0.0000),(232027798,-0.0000),(231041535,-0.0000),(232028078,-0.0000),(231045737,-0.0000),(232030062,-0.0000),(231041921,-0.0000),(232028200,-0.0000),(232027752,-0.0000),(231041152,-0.0000),(281000661,-0.0000),(231039826,-0.0000),(232027668,-0.0000),(232027645,-0.0000),(231040722,-0.0000),(239015287,-0.0000),(231043349,-0.0000),(231042056,-0.0000),(231040950,-0.0000),(232029168,-0.0000),(232028765,-0.0000),(232031138,-0.0000),(231044876,-0.0000),(232032552,-0.0000),(231040190,-0.0000),(231041017,-0.0000),(231040689,-0.0000),(231044087,-0.0000),(232030502,-0.0000)];[(232027578,0.6000),(232029308,0.6000),(231042372,0.6000),(231040992,0.6000),(232027559,0.6000)]
2;8;RECENCY_WEIGHTED_RANDOM;[(231041725,0.6000),(231042874,0.6000),(231039852,0.6000),(231040361,0.6000),(231040803,0.6000),(231044871,-0.0000),(231039645,-0.0000),(231041252,-0.0000),(232032173,-0.0000),(231041227,-0.0000),(231041862,-0.0000),(231042193,-0.0000),(232028609,-0.0000),(232031730,-0.0000),(231039988,-0.0000),(231040037,-0.0000),(231042621,-0.0000),(232030327,-0.0000),(244069659,-0.0000),(231041149,-0.0000),(232031329,-0.0000),(232030879,-0.0000),(232030122,-0.0000),(231040035,-0.0000),(232032245,-0.0000),(248016202,-0.0000),(242003228,-0.0000),(232027694,-0.0000),(232028907,-0.0000),(232030787,-0.0000),(232028565,-0.0000),(232028123,-0.0000),(232029899,-0.0000),(232030581,-0.0000),(231039634,-0.0000),(232029180,-0.0000),(231042384,-0.0000),(231044533,-0.0000),(231040864,-0.0000),(232028497,-0.0000),(232027566,-0.0000),(231043793,-0.0000),(231040407,-0.0000),(232029124,-0.0000),(231044096,-0.0000),(231042220,-0.0000),(231040797,-0.0000),(231042575,-0.0000),(232030578,-0.0000),(231040118,-0.0000)];[(231041725,0.6000),(231042874,0.6000),(231039852,0.6000),(231040361,0.6000),(231040803,0.6000)]
2;9;RECENCY_WEIGHTED_RANDOM;[(231039932,0.6000),(232029748,0.6000),(232028169,0.6000),(232030596,0.6000),(400011132,0.6000),(231042910,-0.0000),(231040040,-0.0000),(232027974,-0.0000),(232028465,-0.0000),(232028332,-0.0000),(232032467,-0.0000),(231041885,-0.0000),(232027891,-0.0000),(231040744,-0.0000),(232029540,-0.0000),(281000675,-0.0000),(232027538,-0.0000),(231044413,-0.0000),(232031669,-0.0000),(232029648,-0.0000),(232031969,-0.0000),(231040382,-0.0000),(232030460,-0.0000),(231041751,-0.0000),(232031465,-0.0000),(231040035,-0.0000),(232027642,-0.0000),(231043532,-0.0000),(232028147,-0.0000),(261001499,-0.0000),(231041343,-0.0000),(232028895,-0.0000),(400007567,-0.0000),(231041634,-0.0000),(232027470,-0.0000),(231041412,-0.0000),(231045109,-0.0000),(235814691,-0.0000),(231040991,-0.0000),(232031814,-0.0000),(232031307,-0.0000),(232029609,-0.0000),(232031408,-0.0000),(231042073,-0.0000),(242002529,-0.0000),(235813386,-0.0000),(232028564,-0.0000),(232028670,-0.0000),(232030924,-0.0000),(231041200,-0.0000)];[(231039932,0.6000),(232029748,0.6000),(232028169,0.6000),(232030596,0.6000),(400011132,0.6000)]
3;0;RECENCY_WEIGHTED_RANDOM;[(232030944,0.6000),(232031732,0.6000),(235814970,0.6000),(232027838,0.6000),(232031599,0.6000),(231043449,-0.0000),(231039898,-0.0000),(231039675,-0.0000),(232030118,-0.0000),(231041237,-0.0000),(232027901,-0.0000),(231043534,-0.0000),(231042679,-0.0000),(232028588,-0.0000),(231039850,-0.0000),(232030261,-0.0000),(231045726,-0.0000),(232027506,-0.0000),(231041660,-0.0000),(232029113,-0.0000),(231039738,-0.0000),(286020444,-0.0000),(231041641,-0.0000),(232027768,-0.0000),(232029452,-0.0000),(232031539,-0.0000),(231042067,-0.0000),(232027540,-0.0000),(232029694,-0.0000),(231040614,-0.0000),(242108069,-0.0000),(232029757,-0.0000),(232028698,-0.0000),(232027525,-0.0000),(232027983,-0.0000),(231043165,-0.0000),(231043164,-0.0000),(231042401,-0.0000),(231044979,-0.0000),(231040162,-0.0000),(231041251,-0.0000),(232032621,-0.0000),(231040177,-0.0000),(232028842,-0.0000),(244068891,-0.0000),(232030183,-0.0000),(231041591,-0.0000),(231041181,-0.0000),(286014997,-0.0000),(235814497,-0.0000)];[(232030944,0.6000),(232031732,0.6000),(235814970,0.6000),(232027838,0.6000),(232031599,0.6000)]
3;1;RECENCY_WEIGHTED_RANDOM;[(231042890,0.7000),(244069685,0.7000),(231040346,0.7000),(400003889,0.7000),(231042594,0.7000),(231040815,-0.0000),(231039693,-0.0000),(232029702,-0.0000),(231041430,-0.0000),(245017968,-0.0000),(231039825,-0.0000),(242002934,-0.0000),(235814369,-0.0000),(231040400,-0.0000),(232028735,-0.0000),(231044442,-0.0000),(231045884,-0.0000),(231040950,-0.0000),(248016258,-0.0000),(232029847,-0.0000),(231040223,-0.0000),(232028564,-0.0000),(231042045,-0.0000),(245017746,-0.0000),(232028103,-0.0000),(231039793,-0.0000),(281000666,-0.0000),(231040912,-0.0000),(232030788,-0.0000),(232031299,-0.0000),(231044406,-0.0000),(231041756,-0.0000),(231044477,-0.0000),(231044858,-0.0000),(231040248,-0.0000),(231042535,-0.0000),(231040126,-0.0000),(286019983,-0.0000),(231041010,-0.0000),(232027836,-0.0000),(231041582,-0.0000),(231044336,-0.0000),(232029994,-0.0000),(232030935,-0.0000),(232028438,-0.0000),(231039950,-0.0000),(232029799,-0.0000),(232032717,-0.0000),(232027868,-0.0000),(232027921,-0.0000)];[(231042890,0.7000),(244069685,0.7000),(231040346,0.7000),(400003889,0.7000),(231042594,0.7000)]
3;2;RECENCY_WEIGHTED_RANDOM;[(231043865,0.6000),(286016808,0.6000),(231040944,0.6000),(231044638,0.6000),(231040140,0.6000),(232028274,-0.0000),(232032639,-0.0000),(232031099,-0.0000),(231040390,-0.0000),(231041431,-0.0000),(231043109,-0.0000),(232030956,-0.0000),(231041256,-0.0000),(232030579,-0.0000),(231044552,-0.0000),(232031233,-0.0000),(232028477,-0.0000),(232030880,-0.0000),(231042309,-0.0000),(232028449,-0.0000),(400001026,-0.0000),(232027700,-0.0000),(232030120,-0.0000),(232031747,-0.0000),(231039915,-0.0000),(232031602,-0.0000),(231044567,-0.0000),(232027520,-0.0000),(231040386,-0.0000),(232031745,-0.0000),(232027605,-0.0000),(291024292,-0.0000),(231042467,-0.0000),(261001886,-0.0000),(232029402,-0.0000),(231040617,-0.0000),(231045375,-0.0000),(232028647,-0.0000),(232031402,-0.0000),(286019431,-0.0000),(231042464,-0.0000),(231039645,-0.0000),(231045254,-0.0000),(232029542,-0.0000),(231043701,-0.0000),(232029031,-0.0000),(232027807,-0.0000),(231044255,-0.0000),(231041761,-0.0000),(231041794,-0.0000)];[(231043865,0.6000),(286016808,0.6000),(231040944,0.6000),(231044638,0.6000),(231040140,0.6000)]
3;3;RECENCY_WEIGHTED_RANDOM;[(231043725,0.7000),(232031128,0.7000),(232029491,0.7000),(231040809,0.7000),(231044201,0.7000),(232028756,-0.0000),(231041132,-0.0000),(231045423,-0.0000),(232028010,-0.0000),(231040206,-0.0000),(231040266,-0.0000),(232029868,-0.0000),(231043669,-0.0000),(231041757,-0.0000),(232027783,-0.0000),(232027999,-0.0000),(231040730,-0.0000),(239015332,-0.0000),(232029612,-0.0000),(231042020,-0.0000),(232028350,-0.0000),(232030917,-0.0000),(231042405,-0.0000),(232027821,-0.0000),(231045714,-0.0000),(231044917,-0.0000),(231041411,-0.0000),(231040534,-0.0000),(230000302,-0.0000),(232027706,-0.0000),(232028836,-0.0000),(232029232,-0.0000),(231042619,-0.0000),(231041327,-0.0000),(231043516,-0.0000),(231043991,-0.0000),(231041246,-0.0000),(232028391,-0.0000),(231041379,-0.0000),(231039702,-0.0000),(231042216,-0.0000),(231042487,-0.0000),(232029897,-0.0000),(233087401,-0.0000),(232027645,-0.0000),(232028120,-0.0000),(232027577,-0.0000),(231040521,-0.0000),(232029489,-0.0000),(231042890,-0.0000)];[(231043725,0.7000),(232031128,0.7000),(232029491,0.7000),(231040809,0.7000),(231044201,0.7000)]
3;4;RECENCY_WEIGHTED_RANDOM;[(231040072,0.7000),(297103908,0.7000),(231039751,0.7000),(232030417,0.7000),(232029995,0.7000),(231040736,-0.0000),(231040002,-0.0000),(232028931,-0.0000),(242108507,-0.0000),(231041995,-0.0000),(232030956,-0.0000),(231042885,-0.0000),(231042529,-0.0000),(232028273,-0.0000),(232031009,-0.0000),(242003454,-0.0000),(231043682,-0.0000),(244074539,-0.0000),(231039764,-0.0000),(232031611,-0.0000),(232029588,-0.0000),(232030219,-0.0000),(232028476,-0.0000),(231040035,-0.0000),(232030365,-0.0000),(231040805,-0.0000),(231041011,-0.0000),(231039834,-0.0000),(231044973,-0.0000),(231041398,-0.0000),(232028218,-0.0000),(245018354,-0.0000),(232029161,-0.0000),(231040783,-0.0000),(231043164,-0.0000),(232029467,-0.0000),(231042125,-0.0000),(232027921,-0.0000),(232030258,-0.0000),(231041717,-0.0000),(232029866,-0.0000),(231043787,-0.0000),(232031924,-0.0000),(232028210,-0.0000),(231042271,-0.0000),(232032230,-0.0000),(232028434,-0.0000),(232032662,-0.0000),(232031537,-0.0000),(231043852,-0.0000)];[(231040072,0.7000),(297103908,0.7000),(231039751,0.7000),(232030417,0.7000),(232029995,0.7000)]
3;5;RECENCY_WEIGHTED_RANDOM;[(244068568,0.7000),(232032232,0.7000),(231043508,0.7000),(232028781,0.7000),(231043433,0.7000),(231040666,-0.0000),(231042368,-0.0000),(231041773,-0.0000),(231041729,-0.0000),(232030481,-0.0000),(400007308,-0.0000),(231042094,-0.0000),(232028688,-0.0000),(232029123,-0.0000),(231040327,-0.0000),(231041044,-0.0000),(231044368,-0.0000),(231040728,-0.0000),(232030201,-0.0000),(232028475,-0.0000),(400007807,-0.0000),(231041836,-0.0000),(232027790,-0.0000),(232031224,-0.0000),(231043427,-0.0000),(231042277,-0.0000),(231040520,-0.0000),(231042816,-0.0000),(232027793,-0.0000),(232031994,-0.0000),(235813450,-0.0000),(232030248,-0.0000),(231039902,-0.0000),(232027886,-0.0000),(232029906,-0.0000),(231045477,-0.0000),(242108796,-0.0000),(232032389,-0.0000),(232027574,-0.0000),(231043312,-0.0000),(231043924,-0.0000),(291024292,-0.0000),(231041545,-0.0000),(235814079,-0.0000),(232031542,-0.0000),(231043068,-0.0000),(231042594,-0.0000),(231042725,-0.0000),(232027526,-0.0000),(232029494,-0.0000)];[(244068568,0.7000),(232032232,0.7000),(231043508,0.7000),(232028781,0.7000),(231043433,0.7000)]
3;6;RECENCY_WEIGHTED_RANDOM;[(231045394,0.7000),(232027928,0.7000),(231042399,0.7000),(231041910,0.7000),(232027936,0.7000),(245018433,-0.0000),(231040803,-0.0000),(232029004,-0.0000),(231043173,-0.0000),(231045152,-0.0000),(231042939,-0.0000),(231043925,-0.0000),(231039676,-0.0000),(232030112,-0.0000),(231039744,-0.0000),(231045713,-0.0000),(231041950,-0.0000),(231039729,-0.0000),(248016484,-0.0000),(232030335,-0.0000),(232030762,-0.0000),(231040389,-0.0000),(232027576,-0.0000),(231042022,-0.0000),(232030278,-0.0000),(231041133,-0.0000),(231042747,-0.0000),(232028132,-0.0000),(232030901,-0.0000),(231040540,-0.0000),(232031970,-0.0000),(232028341,-0.0000),(232028591,-0.0000),(232028827,-0.0000),(231040854,-0.0000),(231043250,-0.0000),(231040976,-0.0000),(232027637,-0.0000),(232027856,-0.0000),(232029064,-0.0000),(207009215,-0.0000),(231045742,-0.0000),(231043912,-0.0000),(232029422,-0.0000),(232028124,-0.0000),(232031255,-0.0000),(231045217,-0.0000),(231040602,-0.0000),(231041056,-0.0000),(232028774,-0.0000)];[(231045394,0.7000),(232027928,0.7000),(231042399,0.7000),(231041910,0.7000),(232027936,0.7000)]
3;7;RECENCY_WEIGHTED_RANDOM;[(231043770,0.7000),(232029804,0.7000),(231042372,0.7000),(232027806,0.7000),(232029648,0.7000),(231045737,-0.0000),(231040840,-0.0000),(232028765,-0.0000),(231040190,-0.0000),(231041283,-0.0000),(232028078,-0.0000),(232032552,-0.0000),(231044445,-0.0000),(231039950,-0.0000),(232030946,-0.0000),(231041535,-0.0000),(232029776,-0.0000),(232032755,-0.0000),(231042602,-0.0000),(232027581,-0.0000),(231042997,-0.0000),(232028200,-0.0000),(232027798,-0.0000),(231041851,-0.0000),(232027645,-0.0000),(232029154,-0.0000),(232029494,-0.0000),(231044087,-0.0000),(232031986,-0.0000),(281000661,-0.0000),(231042405,-0.0000),(231044764,-0.0000),(231040722,-0.0000),(231039844,-0.0000),(231041152,-0.0000),(232027752,-0.0000),(232029168,-0.0000),(231043127,-0.0000),(239015574,-0.0000),(297103102,-0.0000),(231043983,-0.0000),(231040689,-0.0000),(239015287,-0.0000),(231042056,-0.0000),(232030062,-0.0000),(232027668,-0.0000),(231041017,-0.0000),(231044876,-0.0000),(231039826,-0.0000),(232030502,-0.0000)];[(231043770,0.7000),(232029804,0.7000),(231042372,0.7000),(232027806,0.7000),(232029648,0.7000)]
3;8;RECENCY_WEIGHTED_RANDOM;[(231042874,0.7000),(231040361,0.7000),(231041725,0.7000),(232027991,0.7000),(231040732,0.7000),(232032173,-0.0000),(232029124,-0.0000),(231042193,-0.0000),(232028123,-0.0000),(231041252,-0.0000),(232027694,-0.0000),(232028565,-0.0000),(231039634,-0.0000),(232031730,-0.0000),(232028609,-0.0000),(231044096,-0.0000),(231043793,-0.0000),(232031913,-0.0000),(232028497,-0.0000),(231041227,-0.0000),(232030578,-0.0000),(248016202,-0.0000),(232029899,-0.0000),(231042621,-0.0000),(242003228,-0.0000),(232027566,-0.0000),(232030327,-0.0000),(232027700,-0.0000),(231039645,-0.0000),(244069659,-0.0000),(231044533,-0.0000),(232032245,-0.0000),(232030787,-0.0000),(231044871,-0.0000),(231041149,-0.0000),(231040797,-0.0000),(231042220,-0.0000),(231041862,-0.0000),(231040035,-0.0000),(232031329,-0.0000),(231040037,-0.0000),(231040407,-0.0000),(231040864,-0.0000),(232028907,-0.0000),(231042384,-0.0000),(232029180,-0.0000),(232030122,-0.0000),(232030879,-0.0000),(232030581,-0.0000),(231040118,-0.0000)];[(231042874,0.7000),(231040361,0.7000),(231041725,0.7000),(232027991,0.7000),(231040732,0.7000)]
3;9;RECENCY_WEIGHTED_RANDOM;[(400004427,0.7000),(231044490,0.7000),(232028169,0.7000),(231044342,0.7000),(231040345,0.7000),(232028895,-0.0000),(231040035,-0.0000),(232027470,-0.0000),(232028670,-0.0000),(400007567,-0.0000),(232029540,-0.0000),(231042509,-0.0000),(232028735,-0.0000),(232031465,-0.0000),(232030460,-0.0000),(231043532,-0.0000),(231044413,-0.0000),(231041751,-0.0000),(232031814,-0.0000),(232030279,-0.0000),(232031408,-0.0000),(232029648,-0.0000),(231041634,-0.0000),(232029609,-0.0000),(235813386,-0.0000),(242002529,-0.0000),(231040040,-0.0000),(232031669,-0.0000),(232028564,-0.0000),(231045109,-0.0000),(231042073,-0.0000),(232028332,-0.0000),(281000675,-0.0000),(231041412,-0.0000),(232028449,-0.0000),(232027538,-0.0000),(232027974,-0.0000),(232028147,-0.0000),(232027642,-0.0000),(231042910,-0.0000),(235814691,-0.0000),(232028465,-0.0000),(232032467,-0.0000),(232031307,-0.0000),(231040991,-0.0000),(232031969,-0.0000),(232027891,-0.0000),(231040382,-0.0000),(231040744,-0.0000),(231041200,-0.0000)];[(400004427,0.7000),(231044490,0.7000),(232028169,0.7000),(231044342,0.7000),(231040345,0.7000)]
4;0;RECENCY_WEIGHTED_RANDOM;[(235814970,0.7000),(232031599,0.7000),(232031646,0.7000),(232027838,0.7000),(231041325,0.7000),(232030789,-0.0000),(231043164,-0.0000),(231039898,-0.0000),(231041181,-0.0000),(232029113,-0.0000),(231042598,-0.0000),(232029452,-0.0000),(232031539,-0.0000),(232030999,-0.0000),(231043165,-0.0000),(231041544,-0.0000),(231039675,-0.0000),(232029694,-0.0000),(232030261,-0.0000),(231045726,-0.0000),(244068891,-0.0000),(231043449,-0.0000),(286020444,-0.0000),(232032621,-0.0000),(231039850,-0.0000),(232027540,-0.0000),(232027768,-0.0000),(231040177,-0.0000),(231042679,-0.0000),(231042401,-0.0000),(231040614,-0.0000),(231040162,-0.0000),(242108069,-0.0000),(231041641,-0.0000),(232030118,-0.0000),(231044979,-0.0000),(231042067,-0.0000),(232027901,-0.0000),(232027525,-0.0000),(231043534,-0.0000),(232030183,-0.0000),(231041591,-0.0000),(232027506,-0.0000),(231039738,-0.0000),(232028698,-0.0000),(235814497,-0.0000),(231042810,-0.0000),(232028842,-0.0000),(232028588,-0.0000),(232031410,-0.0000)];[(235814970,0.7000),(232031599,0.7000),(232031646,0.7000),(232027838,0.7000),(231041325,0.7000)]
4;1;RECENCY_WEIGHTED_RANDOM;[(231040420,0.8000),(231042919,0.8000),(244069685,0.8000),(231044338,0.8000),(400003889,0.8000),(232030935,-0.0000),(232029702,-0.0000),(245017968,-0.0000),(231044442,-0.0000),(231039693,-0.0000),(232030788,-0.0000),(231044858,-0.0000),(231040400,-0.0000),(232031299,-0.0000),(281000954,-0.0000),(231041756,-0.0000),(231043320,-0.0000),(242002934,-0.0000),(231039793,-0.0000),(232027836,-0.0000),(231045163,-0.0000),(232028735,-0.0000),(235814369,-0.0000),(231042535,-0.0000),(231044477,-0.0000),(232032717,-0.0000),(231039825,-0.0000),(232027868,-0.0000),(231040950,-0.0000),(232028438,-0.0000),(232029847,-0.0000),(231040912,-0.0000),(232027988,-0.0000),(231045884,-0.0000),(286019983,-0.0000),(232029994,-0.0000),(231041010,-0.0000),(248016258,-0.0000),(232028564,-0.0000),(232029799,-0.0000),(231044406,-0.0000),(231042045,-0.0000),(231040248,-0.0000),(231041430,-0.0000),(231044336,-0.0000),(231040223,-0.0000),(232028103,-0.0000),(231040696,-0.0000),(231039950,-0.0000),(232027921,-0.0000)];[(231040420,0.8000),(231042919,0.8000),(244069685,0.8000),(231044338,0.8000),(400003889,0.8000)]
4;2;RECENCY_WEIGHTED_RANDOM;[(231043546,0.8000),(231043865,0.8000),(232031982,0.8000),(232030240,0.8000),(286016808,0.8000),(231040804,-0.0000),(232031402,-0.0000),(291024292,-0.0000),(232028477,-0.0000),(231041256,-0.0000),(400001026,-0.0000),(232029542,-0.0000),(232030707,-0.0000),(231040785,-0.0000),(232028274,-0.0000),(232032639,-0.0000),(232029200,-0.0000),(231045375,-0.0000),(231040386,-0.0000),(242107788,-0.0000),(231040390,-0.0000),(232029031,-0.0000),(231042309,-0.0000),(231039645,-0.0000),(232027605,-0.0000),(231040685,-0.0000),(232029402,-0.0000),(231040617,-0.0000),(231042464,-0.0000),(231043237,-0.0000),(232028449,-0.0000),(231042467,-0.0000),(231044552,-0.0000),(232030956,-0.0000),(231044255,-0.0000),(231041431,-0.0000),(231042250,-0.0000),(232031602,-0.0000),(261001886,-0.0000),(232028921,-0.0000),(231045254,-0.0000),(281000970,-0.0000),(232031233,-0.0000),(232030880,-0.0000),(231043701,-0.0000),(232027700,-0.0000),(232027807,-0.0000),(232032277,-0.0000),(232027520,-0.0000),(231041794,-0.0000)];[(231043546,0.8000),(231043865,0.8000),(232031982,0.8000),(232030240,0.8000),(286016808,0.8000)]
4;3;RECENCY_WEIGHTED_RANDOM;[(231043725,0.7000),(232031128,0.7000),(232029491,0.7000),(231040809,0.7000),(231044201,0.7000),(232028756,-0.0000),(231041132,-0.0000),(231045423,-0.0000),(232028010,-0.0000),(231040206,-0.0000),(231040266,-0.0000),(232029868,-0.0000),(231043669,-0.0000),(231041757,-0.0000),(232027783,-0.0000),(232027999,-0.0000),(231040730,-0.0000),(239015332,-0.0000),(232029612,-0.0000),(231042020,-0.0000),(232028350,-0.0000),(232030917,-0.0000),(231042405,-0.0000),(232027821,-0.0000),(231045714,-0.0000),(231044917,-0.0000),(231041411,-0.0000),(231040534,-0.0000),(230000302,-0.0000),(232027706,-0.0000),(232028836,-0.0000),(232029232,-0.0000),(231042619,-0.0000),(231041327,-0.0000),(231043516,-0.0000),(231043991,-0.0000),(231041246,-0.0000),(232028391,-0.0000),(231041379,-0.0000),(231039702,-0.0000),(231042216,-0.0000),(231042487,-0.0000),(232029897,-0.0000),(233087401,-0.0000),(232027645,-0.0000),(232028120,-0.0000),(232027577,-0.0000),(231040521,-0.0000),(232029489,-0.0000),(231042890,-0.0000)];[(231043725,0.7000),(232031128,0.7000),(232029491,0.7000),(231040809,0.7000),(231044201,0.7000)]
4;4;RECENCY_WEIGHTED_RANDOM;[(231041035,0.8000),(231042122,0.8000),(231043027,0.8000),(232028452,0.8000),(232030417,0.8000),(242108507,-0.0000),(232031537,-0.0000),(231041717,-0.0000),(232031611,-0.0000),(232032230,-0.0000),(231043164,-0.0000),(232027921,-0.0000),(231042529,-0.0000),(232028273,-0.0000),(232030219,-0.0000),(231040503,-0.0000),(232031924,-0.0000),(231043852,-0.0000),(232028434,-0.0000),(231043682,-0.0000),(231041995,-0.0000),(231044973,-0.0000),(232029467,-0.0000),(231040035,-0.0000),(232030365,-0.0000),(232029161,-0.0000),(231042125,-0.0000),(245018354,-0.0000),(231041691,-0.0000),(232031009,-0.0000),(232027503,-0.0000),(239016398,-0.0000),(231041398,-0.0000),(231039764,-0.0000),(231042271,-0.0000),(231040002,-0.0000),(231040783,-0.0000),(232028218,-0.0000),(244074539,-0.0000),(400007856,-0.0000),(231041011,-0.0000),(232030956,-0.0000),(232028931,-0.0000),(231040736,-0.0000),(232029588,-0.0000),(232028210,-0.0000),(232032662,-0.0000),(232028476,-0.0000),(231040805,-0.0000),(232030258,-0.0000)];[(231041035,0.8000),(231042122,0.8000),(231043027,0.8000),(232028452,0.8000),(232030417,0.8000)]
